,Age,Age,Age,Age,Age,Age,EDUC,EDUC,EDUC,EDUC,EDUC,EDUC,SES,SES,SES,SES,SES,SES,MMSE,MMSE,MMSE,MMSE,MMSE,MMSE,eTIV,eTIV,eTIV,eTIV,eTIV,eTIV,nWBV,nWBV,nWBV,nWBV,nWBV,nWBV,ASF,ASF,ASF,ASF,ASF,ASF
,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demented,64,75.109375,6.735636540311141,75.0,61,96,64,13.6875,2.916156417952963,12.5,6,20,56,2.75,1.1793680896603447,3.0,1.0,5.0,64,25.328125,3.319278404560866,26.0,17.0,30.0,64,1475.934604163405,173.5832562805388,1458.5749999999998,1151.1,1956.96025530805,64,0.724357265625,0.03147643014048195,0.7260135,0.659691,0.806315,64,1.204723484375,0.1368736656598864,1.20323,0.896799,1.52463
Nondemented,72,75.43055555555556,8.23223890770244,75.0,60,93,72,15.166666666666666,2.732176555860615,16.0,8,23,72,2.4166666666666665,1.0581674299746495,2.0,1.0,5.0,72,29.194444444444443,0.8498365855987978,29.0,26.0,30.0,72,1480.065787930353,183.81287796744104,1457.47,1122.77,1986.55,72,0.7460624166666666,0.038654991031988314,0.7469764999999999,0.665862,0.836842,72,1.2032950416666666,0.14488676933476652,1.204145,0.88344,1.5631
