model_a,model_b,auc_a,auc_b,auc_difference,z_value,p_value_raw
Logistic Regression,Random Forest,0.7743589743589744,0.7692307692307693,0.00512820512820511,0.1393788254516217,0.8891508038713715
Logistic Regression,SVC,0.7743589743589744,0.7948717948717948,-0.02051282051282044,-0.5176317066525731,0.6047152553733443
Random Forest,SVC,0.7692307692307693,0.7948717948717948,-0.02564102564102555,-0.600583707826386,0.5481172920177129
